numero	prueba	categoria	precio	id_nomenclador	id_nomenclador_detalle
0	No Corresponde	0	0		1
0	No Corresponde	0	0		2
0	No Corresponde	0	0		3
0	No Corresponde	0	0		4
0	No Corresponde	0	0		5
0	No Corresponde	0	0		6
0	No Corresponde	0	0		7
0	No Corresponde	0	0		8
0	No Corresponde	0	0		9
0	No Corresponde	0	0		10
1 	Acidos biliares		10	708	8
1 	Acidos biliares		10	709	9
1 	Acidos biliares		10	710	10
1 	Acidos biliares		3	711	1
1 	Acidos biliares		3	712	2
1 	Acidos biliares		3	713	3
1 	Acidos biliares		3	714	4
1 	Acidos biliares		3	715	5
1 	Acidos biliares		3	716	6
1 	Acidos biliares		3	717	7
1 	Antibiograma micobacterias		15	738	1
1 	Antibiograma micobacterias		15	739	2
1 	Antibiograma micobacterias		15	740	3
1 	Antibiograma micobacterias		15	741	4
1 	Antibiograma micobacterias		15	742	5
1 	Antibiograma micobacterias		15	743	6
1 	Antibiograma micobacterias		15	744	7
1 	Antibiograma micobacterias		15	745	8
1 	Antibiograma micobacterias		15	746	9
1 	Antibiograma micobacterias		15	747	10
1 	Anticuerpos antitreponemicos		15	718	8
1 	Anticuerpos antitreponemicos		15	719	9
1 	Anticuerpos antitreponemicos		15	720	10
1 	Anticuerpos antitreponemicos		6	721	1
1 	Anticuerpos antitreponemicos		6	722	2
1 	Anticuerpos antitreponemicos		6	723	3
1 	Anticuerpos antitreponemicos		6	724	4
1 	Anticuerpos antitreponemicos		6	725	5
1 	Anticuerpos antitreponemicos		6	726	6
1 	Anticuerpos antitreponemicos		6	727	7
1 	Bacteriología Directa y cultivo		10	728	1
1 	Bacteriología Directa y cultivo		10	729	2
1 	Bacteriología Directa y cultivo		10	730	3
1 	Bacteriología Directa y cultivo		10	731	4
1 	Bacteriología Directa y cultivo		10	732	5
1 	Bacteriología Directa y cultivo		10	733	6
1 	Bacteriología Directa y cultivo		10	734	7
1 	Bacteriología Directa y cultivo		15	735	8
1 	Bacteriología Directa y cultivo		15	736	9
1 	Bacteriología Directa y cultivo		15	737	10
10	Colesterol		10	708	8
10	Colesterol		10	709	9
10	Colesterol		10	710	10
10	Colesterol		3	711	1
10	Colesterol		3	712	2
10	Colesterol		3	713	3
10	Colesterol		3	714	4
10	Colesterol		3	715	5
10	Colesterol		3	716	6
10	Colesterol		3	717	7
10	KPTT		15	718	8
10	KPTT		15	719	9
10	KPTT		15	720	10
10	KPTT		6	721	1
10	KPTT		6	722	2
10	KPTT		6	723	3
10	KPTT		6	724	4
10	KPTT		6	725	5
10	KPTT		6	726	6
10	KPTT		6	727	7
10	Prolactina		15	738	1
10	Prolactina		15	739	2
10	Prolactina		15	740	3
10	Prolactina		15	741	4
10	Prolactina		15	742	5
10	Prolactina		15	743	6
10	Prolactina		15	744	7
10	Prolactina		15	745	8
10	Prolactina		15	746	9
10	Prolactina		15	747	10
10	Sub Unidad Beta		15	735	8
10	Sub Unidad Beta		15	736	9
10	Sub Unidad Beta		15	737	10
11	Creatinina en orina		10	708	8
