cuie	codigo	usuario	fecha_carga
N05454	CPN 73		
N05216	LMI 43		
N05188	LMI 49		
N05299	MEM 04		
N03163	MER 13		
N05432	MPU 23		
N05186	NPE 33		
N30022	NPE 42		
N10483	Pago Dif-2		
N95722	REM 81		
N05173	RPE 88		
N05258	RPU 85		
N05266	RPU 85		
N05300	RPU 85		
N05302	RPU 85		
N05335	RPU 85		
N05338	RPU 85		
N05349	RPU 85		
N05366	RPU 85		
N05378	RPU 85		
N05402	RPU 85		
N05410	RPU 85		
N05426	RPU 85		
N05433	RPU 85		
N05445	RPU 85		
N05467	RPU 85		
N20005	RPU 85		
N20023	RPU 85		
N20032	RPU 85		
N30014	RPU 85		
N95778	RPU 85		
N01138	RTM 11		
N03158	RTM 11		
N05199	RTM 11		
N05204	RTM 11		
N05209	RTM 11		
N05216	RTM 11		
N05218	RTM 11		
N05232	RTM 11		
N05245	RTM 11		
N05270	RTM 11		
N05271	RTM 11		
N05281	RTM 11		
N05284	RTM 11		
N05288	RTM 11		
N05320	RTM 11		
N05336	RTM 11		
N05351	RTM 11		
N05372	RTM 11		
N05374	RTM 11		
N05425	RTM 11		
N05443	RTM 11		
N05458	RTM 11		
N05459	RTM 11		
N05464	RTM 11		
N05468	RTM 11		
N30012	RTM 11		
N95723	RTM 11		
N95772	RTM 11		
N95774	RTM 11		
N99976	RTM 11		
N00482	SIS 01		
N05186	SIS 01		
N05189	SIS 01		
N05192	SIS 01		
N05208	SIS 01		
N05212	SIS 01		
N05214	SIS 01		
N05228	SIS 01		
N05242	SIS 01		
N05247	SIS 01		
N05252	SIS 01		
N05258	SIS 01		
N05267	SIS 01		
N05283	SIS 01		
N05306	SIS 01		
N05307	SIS 01		
N05317	SIS 01		
N05330	SIS 01		
N05359	SIS 01		
N05361	SIS 01		
N05377	SIS 01		
N05382	SIS 01		
N05397	SIS 01		
N05438	SIS 01		
N05458	SIS 01		
N05467	SIS 01		
N10466	SIS 01		
N20008	SIS 01		
N20016	SIS 01		
N20033	SIS 01		
N20034	SIS 01		
N20036	SIS 01		
N20055	SIS 01		
N95723	SIS 01		
N95774	SIS 01		
N99930	SIS 01		
NI8880	SIS 01		
N05368	SIS 17		
S00001	SIS 17		
N05176	SIS 18		
N20020	TMI 69		
N05178	TMI 69		
N05262	TMI 69		
N05368	TMI 69		
N00298	TMI 69		
N00483	TMI 69		
N03165	TMI 69		
N05200	TMI 69		
N05204	TMI 69		
N05224	TMI 69		
N05234	TMI 69		
N05238	TMI 69		
N05268	TMI 69		
N05280	TMI 69		
N05298	TMI 69		
N05310	TMI 69		
N05325	TMI 69		
N05335	TMI 69		
N05347	TMI 69		
N05349	TMI 69		
N05364	TMI 69		
N05374	TMI 69		
N05398	TMI 69		
N05426	TMI 69		
N05427	TMI 69		
N05428	TMI 69		
N05431	TMI 69		
N05441	TMI 69		
N20050	TMI 69		
N95756	TMI 69		
N03586	TMI 70		
N05260	TMI 70		
N05263	RPU 85		
N05276	RPU 85		
N05287	RPU 85		
N05322	RPU 85		
N05328	RPU 85		
N05364	RPU 85		
N05392	RPU 85		
N05437	RPU 85		
N05452	RPU 85		
N10458	RPU 85		
N10491	RPU 85		
N11182	RPU 85		
N20002	RPU 85		
N20018	RPU 85		
N20019	RPU 85		
N20039	RPU 85		
N20046	RPU 85		
N30022	RPU 85		
N95721	RPU 85		
N03167	RTM 11		
N03168	RTM 11		
N05174	RTM 11		
N05260	RTM 11		
N03587	RTM 11		
N05173	RTM 11		
N05223	RTM 11		
N05228	RTM 11		
N05246	RTM 11		
N05283	RTM 11		
N05302	RTM 11		
N05306	RTM 11		
N05324	RTM 11		
N05331	RTM 11		
N05343	RTM 11		
N05360	RTM 11		
N05379	RTM 11		
N05402	RTM 11		
N05440	RTM 11		
N05441	RTM 11		
N05453	RTM 11		
N10458	RTM 11		
N20001	RTM 11		
N20008	RTM 11		
N20022	RTM 11		
N20039	RTM 11		
N20044	RTM 11		
N20048	RTM 11		
N30009	RTM 11		
N95718	RTM 11		
N95722	RTM 11		
N00298	SIS 01		
N00420	SIS 01		
N00746	SIS 01		
N03159	SIS 01		
N05191	SIS 01		
N05205	SIS 01		
N05206	SIS 01		
N05223	SIS 01		
N05237	SIS 01		
N05259	SIS 01		
N05276	SIS 01		
N05294	SIS 01		
N05316	SIS 01		
N05354	SIS 01		
N05381	SIS 01		
N05402	SIS 01		
N05407	SIS 01		
N05456	SIS 01		
N05459	SIS 01		
N05464	SIS 01		
N10452	SIS 01		
N10483	SIS 01		
N10488	SIS 01		
N11181	SIS 01		
N20011	SIS 01		
N20014	SIS 01		
N20022	SIS 01		
N20041	SIS 01		
N30025	SIS 01		
N95752	SIS 01		
N95764	SIS 01		
N95782	SIS 01		
N03157	SIS 17		
N03174	SIS 17		
N05161	SIS 17		
N03157	SIS 18		
N05260	SIS 18		
N03171	TMI 69		
N05174	TMI 69		
N05211	TMI 69		
N05214	TMI 69		
N05231	TMI 69		
N05244	TMI 69		
N05251	TMI 69		
N05256	TMI 69		
N05266	TMI 69		
N05292	TMI 69		
N05296	TMI 69		
N05304	TMI 69		
N05329	TMI 69		
N05334	TMI 69		
N05387	TMI 69		
N05449	TMI 69		
N10458	TMI 69		
N10853	TMI 69		
N20004	TMI 69		
N20018	TMI 69		
N20019	TMI 69		
N30015	TMI 69		
N30022	TMI 69		
N95721	TMI 69		
N95724	TMI 69		
N03154	TMI 70		
N03169	TMI 70		
N05264	RPU 85		
N05270	RPU 85		
N05272	RPU 85		
N05273	RPU 85		
N05298	RPU 85		
N05313	RPU 85		
