codigo	grupo	subgrupo	descripcion	precio	tipo_nomenclador	id_nomenclador_detalle
CME 72	NULL	NULL	Capita Control del Embarazo (incluye prestación MEM 02 Consulta Ulterior de Control Prenatal)	2	NORMAL	1
CMI 60	COMUNIDAD		Ronda Completa de Agente Sanitario en área rural	230	NORMAL	6
CMI 60	COMUNIDAD		Ronda Completa de Agente Sanitario en área rural	230	NORMAL	7
CMI 60	COMUNIDAD		Ronda Completa de Agente Sanitario en área rural	40	NORMAL	2
CMI 60	COMUNIDAD		Ronda Completa de Agente Sanitario en área rural	40	NORMAL	3
CMI 60	COMUNIDAD		Ronda Completa de Agente Sanitario en área rural	40	NORMAL	4
CMI 60	COMUNIDAD		Ronda Completa de Agente Sanitario en área rural	40	NORMAL	5
CMI 60	COMUNIDAD		Ronda Completa de Agente Sanitario en área rural	7	NORMAL	1
CMI 60	COMUNIDAD		Ronda Completa de Agente Sanitario en área rural	96	NORMAL	8
CMI 60	COMUNIDAD		Ronda Completa de Agente Sanitario en área rural	96	NORMAL	9
CMI 60	COMUNIDAD		Ronda Completa de Agente Sanitario en área rural	96	NORMAL	10
CMI 61	COMUNIDAD		Ronda Completa de Agente Sanitario en Población Indígena	20	NORMAL	8
CMI 61	COMUNIDAD		Ronda Completa de Agente Sanitario en Población Indígena	20	NORMAL	9
CMI 61	COMUNIDAD		Ronda Completa de Agente Sanitario en Población Indígena	20	NORMAL	10
CMI 61	COMUNIDAD		Ronda Completa de Agente Sanitario en Población Indígena	40	NORMAL	2
CMI 61	COMUNIDAD		Ronda Completa de Agente Sanitario en Población Indígena	40	NORMAL	3
CMI 61	COMUNIDAD		Ronda Completa de Agente Sanitario en Población Indígena	40	NORMAL	4
CMI 61	COMUNIDAD		Ronda Completa de Agente Sanitario en Población Indígena	40	NORMAL	5
CMI 61	COMUNIDAD		Ronda Completa de Agente Sanitario en Población Indígena	40	NORMAL	6
CMI 61	COMUNIDAD		Ronda Completa de Agente Sanitario en Población Indígena	40	NORMAL	7
CMI 61	COMUNIDAD		Ronda Completa de Agente Sanitario en Población Indígena	8	NORMAL	1
CMI 62	COMUNIDAD		Captación por búsqueda activa de embarazadas en el primer trimestre por agente sanitario y/o personal de Salud	10	NORMAL	1
CMI 62	COMUNIDAD		Captación por búsqueda activa de embarazadas en el primer trimestre por agente sanitario y/o personal de Salud	10	NORMAL	6
CMI 62	COMUNIDAD		Captación por búsqueda activa de embarazadas en el primer trimestre por agente sanitario y/o personal de Salud	10	NORMAL	7
CMI 62	COMUNIDAD		Captación por búsqueda activa de embarazadas en el primer trimestre por agente sanitario y/o personal de Salud	30	NORMAL	5
CMI 62	COMUNIDAD		Captación por búsqueda activa de embarazadas en el primer trimestre por agente sanitario y/o personal de Salud	35	NORMAL	2
CMI 62	COMUNIDAD		Captación por búsqueda activa de embarazadas en el primer trimestre por agente sanitario y/o personal de Salud	35	NORMAL	3
CMI 62	COMUNIDAD		Captación por búsqueda activa de embarazadas en el primer trimestre por agente sanitario y/o personal de Salud	35	NORMAL	4
CMI 62	COMUNIDAD		Captación por búsqueda activa de embarazadas en el primer trimestre por agente sanitario y/o personal de Salud	50	NORMAL	8
CMI 62	COMUNIDAD		Captación por búsqueda activa de embarazadas en el primer trimestre por agente sanitario y/o personal de Salud	50	NORMAL	9
CMI 62	COMUNIDAD		Captación por búsqueda activa de embarazadas en el primer trimestre por agente sanitario y/o personal de Salud	50	NORMAL	10
CMI 63	COMUNIDAD		Carta de derechos de la mujer embarazada indígena	10	NORMAL	1
CMI 63	COMUNIDAD		Carta de derechos de la mujer embarazada indígena	10	NORMAL	2
CMI 63	COMUNIDAD		Carta de derechos de la mujer embarazada indígena	10	NORMAL	3
CMI 63	COMUNIDAD		Carta de derechos de la mujer embarazada indígena	10	NORMAL	4
CMI 63	COMUNIDAD		Carta de derechos de la mujer embarazada indígena	5	NORMAL	5
CMI 63	COMUNIDAD		Carta de derechos de la mujer embarazada indígena	5	NORMAL	6
CMI 63	COMUNIDAD		Carta de derechos de la mujer embarazada indígena	5	NORMAL	7
CMI 63	COMUNIDAD		Carta de derechos de la mujer embarazada indígena	5	NORMAL	8
CMI 63	COMUNIDAD		Carta de derechos de la mujer embarazada indígena	5	NORMAL	9
CMI 63	COMUNIDAD		Carta de derechos de la mujer embarazada indígena	5	NORMAL	10
CMI 64	COMUNIDAD		Diagnóstico socio-epidemiológico de población en riesgo, (documento entregado y aprobado)	10	NORMAL	1
CMI 64	COMUNIDAD		Diagnóstico socio-epidemiológico de población en riesgo, (documento entregado y aprobado)	100	NORMAL	2
CMI 64	COMUNIDAD		Diagnóstico socio-epidemiológico de población en riesgo, (documento entregado y aprobado)	100	NORMAL	3
CMI 64	COMUNIDAD		Diagnóstico socio-epidemiológico de población en riesgo, (documento entregado y aprobado)	100	NORMAL	4
CMI 64	COMUNIDAD		Diagnóstico socio-epidemiológico de población en riesgo, (documento entregado y aprobado)	100	NORMAL	5
CMI 64	COMUNIDAD		Diagnóstico socio-epidemiológico de población en riesgo, (documento entregado y aprobado)	50	NORMAL	6
CMI 64	COMUNIDAD		Diagnóstico socio-epidemiológico de población en riesgo, (documento entregado y aprobado)	50	NORMAL	7
CMI 64	COMUNIDAD		Diagnóstico socio-epidemiológico de población en riesgo, (documento entregado y aprobado)	50	NORMAL	8
CMI 64	COMUNIDAD		Diagnóstico socio-epidemiológico de población en riesgo, (documento entregado y aprobado)	50	NORMAL	9
CMI 64	COMUNIDAD		Diagnóstico socio-epidemiológico de población en riesgo, (documento entregado y aprobado)	50	NORMAL	10
CMI 65	COMUNIDAD		Encuentros para promoción del desarrollo infantil	15	NORMAL	1
CMI 65	COMUNIDAD		Encuentros para promoción del desarrollo infantil	20	NORMAL	5
CMI 65	COMUNIDAD		Encuentros para promoción del desarrollo infantil	20	NORMAL	6
CMI 65	COMUNIDAD		Encuentros para promoción del desarrollo infantil	20	NORMAL	7
CMI 65	COMUNIDAD		Encuentros para promoción del desarrollo infantil	40	NORMAL	2
CMI 65	COMUNIDAD		Encuentros para promoción del desarrollo infantil	40	NORMAL	3
CMI 65	COMUNIDAD		Encuentros para promoción del desarrollo infantil	40	NORMAL	4
CMI 65	COMUNIDAD		Encuentros para promoción del desarrollo infantil	40	NORMAL	8
CMI 65	COMUNIDAD		Encuentros para promoción del desarrollo infantil	40	NORMAL	9
CMI 65	COMUNIDAD		Encuentros para promoción del desarrollo infantil	40	NORMAL	10
CMI 66	COMUNIDAD		Encuentros para promoción de pautas alimentarias	15	NORMAL	1
CMI 66	COMUNIDAD		Encuentros para promoción de pautas alimentarias	20	NORMAL	5
CMI 66	COMUNIDAD		Encuentros para promoción de pautas alimentarias	20	NORMAL	6
CMI 66	COMUNIDAD		Encuentros para promoción de pautas alimentarias	20	NORMAL	7
CMI 66	COMUNIDAD		Encuentros para promoción de pautas alimentarias	40	NORMAL	2
CMI 66	COMUNIDAD		Encuentros para promoción de pautas alimentarias	40	NORMAL	3
