nombre	domicilio	departamento	localidad	codpos	cuidad	referente	tel	com_gestion	com_gestion_firmante	fecha_comp_ges	fecha_fin_comp_ges	com_gestion_pago_indirecto	tercero_admin	tercero_admin_firmante	fecha_tercero_admin	fecha_fin_tercero_admin	cuie	usuario	fecha_modificacion	dni_firmante_actual	com_gestion_firmante_actual	n_2008	n_2009	id_nomenclador_detalle	id_zona_sani	mail	padre
URUNDAYTY		021	020	3308	CANDELARIA			FALSO     				FALSO     					ALD001							10	8	                                        	N03157
SANTIAGO DE LINIERS		042	080	3381	SANTIAGO DE LINIERS			FALSO     				FALSO     					ALD005							10	10	                                        	N05393
SANATORIO BORATTI		028	030	3300	POSADAS			FALSO     				FALSO     					BOR001							10	6	                                        	
IOT		028	030	3300	POSADAS			FALSO     				FALSO     					IOT001							10	6	                                        	
INSTITUTO DE PREVISION SOCIAL MISIONES		028	030	3300	POSADAS			FALSO     				FALSO     					IPS001							10	6	                                        	
MUNICIPALIDAD DE 9 DE JULIO		042	040	3380	9 DE JULIO												M00001							10	10		
MUNICIPALIDAD DE CARAGUATAY		084	010	3386	CARAGUATAY												M00002							10	10		
MUNICIPALIDAD DE COLONIA DELICIA		042	110	3382	COLONIA DELICIA												M00003							10	10		
MUNICIPALIDAD DE COLONIA WANDA		063	040	3376	COLONIA WANDA												M00004							10	10		
MUNICIPALIDAD DE ELDORADO		042	020	3380	ELDORADO												M00005							10	10		
MUNICIPALIDAD DE MONTECARLO		084	030	3384	MONTECARLO												M00006							10	10		
MUNICIPALIDAD DE PTO. ESPERANZA		063	010	3378	PUERTO ESPERANZA												M00007							10	10		
MUNICIPALIDAD DE PTO. PIRAY		084	050	3381	PUERTO PIRAY												M00008							10	10		
MUNICIPALIDAD DE SGO. LINIERS		042	080	3381	SANTIAGO DE LINIERS												M00009							10	10		
MUNICIPALIDAD DE EL ALCAZAR		077	020	3384	EL ALCAZAR												M00010							10	10		
CAPS  Nº 7 SESQUICENTENARIO	CALLE 166 A DOS CUADRAS DE RUTA NAC. 12	028	030	3300	POSADAS	DRA CELLERINO, SILVINA	03752-488441             	VERDADERO 	SILVINA CELLERINO	2005-07-01	2011-12-31	VERDADERO 	N95614	DRA. STELLA MARIS MUÑOZ DE CRIBB	2006-07-01	2009-12-31	N00204				SILVINA CELLERINO			10	6	                                        	
CAPS. Nº 17 EL ZAIMÁN	COMPLEJO POLIDEPORTIVO POSADAS	028	030	3300	POSADAS	PAOLA CAROLINA RODRÍGUEZ	03752-458208             	VERDADERO 	PAOLA CAROLINA RODRÍGUEZ	2005-07-01	2011-12-31	VERDADERO 	N95614	DRA. STELLA MARIS MUÑOZ DE CRIBB	2006-07-01	2009-12-31	N00205				PAOLA CAROLINA RODRÍGUEZ			10	6	                                        	
CAPS. MUNICIP. LOS PARAISOS	Bº LOS PARAÍSOS	028	030	3300	POSADAS	DARÍO ZAYAS		VERDADERO 	DARÍO ZAYAS	2008-10-01	2011-12-31	VERDADERO 	N10450	LAURA BEATRIZ BLODEK	2008-10-01	2009-12-31	N00296				DARÍO ZAYAS			10	6	                                        	
